profile,value,Actot,aPAR,Rd
Uniform,0.1,0.972329026349426,98.528210667397,0.0667832669975861
Uniform,0.302564102564103,3.07566966247153,271.640525082775,0.202062192454237
Uniform,0.505128205128205,5.11503483228913,415.479140030463,0.337341117910887
Uniform,0.707692307692308,7.0787796538878,535.858858556608,0.472620043367537
Uniform,0.91025641025641,8.94006444506132,637.230842181195,0.607898968824187
Uniform,1.11282051282051,10.6776346844784,723.054098163327,0.743177894280838
Uniform,1.31538461538462,12.2741134952578,796.051917199826,0.878456819737488
Uniform,1.51794871794872,13.7184686251899,858.393004976652,1.01373574519414
Uniform,1.72051282051282,15.0072444281696,911.82196977567,1.14901467065079
Uniform,1.92307692307692,16.1433210840575,957.749739473654,1.28420864173981
Uniform,2.12564102564103,17.1371842708679,997.350766948526,1.41957252156409
Uniform,2.32820512820513,17.9985804293166,1031.5645656443,1.55485144702074
Uniform,2.53076923076923,18.7408642206399,1061.20680480448,1.6900185725296
Uniform,2.73333333333333,19.3774894006463,1086.88471748998,1.82540929793404
Uniform,2.93589743589744,19.9203214320821,1109.20723439905,1.96068822339069
Uniform,3.13846153846154,20.3808700825484,1128.62409701669,2.09596714884734
Uniform,3.34102564102564,20.7693417795802,1145.53139349172,2.23124607430399
Uniform,3.54358974358974,21.0947838629981,1160.26585154912,2.36652499976064
Uniform,3.74615384615385,21.365140787101,1173.11477264635,2.50180392521729
Uniform,3.94871794871795,21.57991507383,1184.32409741016,2.63708285067394
Uniform,4.15128205128205,21.7590360776957,1194.1049960762,2.77236177613059
Uniform,4.35384615384615,21.9012325341207,1202.63928580115,2.90764070158724
Uniform,4.55641025641026,22.0085660142267,1210.08390823637,3.04291962704389
Uniform,4.75897435897436,22.0897206349836,1216.57464924952,3.17819855250054
Uniform,4.96153846153846,22.1458250471672,1222.22924362222,3.31347747795719
Uniform,5.16410256410256,22.1817773484583,1227.2900568022,3.44852827261865
Uniform,5.36666666666667,22.1933323845093,1231.42587991547,3.58403532887049
Uniform,5.56923076923077,22.1913414421121,1235.13457143938,3.71931425432714
Uniform,5.77179487179487,22.1738446878633,1238.34383488657,3.85459317978379
Uniform,5.97435897435897,22.1420595930085,1241.11294848679,3.98987210524044
Uniform,6.17692307692308,22.0976132090828,1243.49382405554,4.12515103069709
Uniform,6.37948717948718,22.0419226269862,1245.53198034988,4.26042995615374
Uniform,6.58205128205128,21.9808291896732,1247.47272103289,4.39541811112814
Uniform,6.78461538461538,21.9016527350326,1248.73513594238,4.53098780706704
Uniform,6.98717948717949,21.8191390309297,1249.96615188886,4.66626673252369
Uniform,7.18974358974359,21.7399259465476,1251.44692573815,4.80091938618698
Uniform,7.39230769230769,21.6547108213795,1252.75220238815,4.93557208512922
Uniform,7.59487179487179,21.5640496672208,1253.9022561375,5.0702248257288
Uniform,7.7974358974359,21.4684838979897,1254.914985625,5.20487760474031
Uniform,8,21.3732159117738,1256.0123586093,5.33926043285807
Top-heavy,0.1,0.97227383884481,98.5234646707881,0.0667788493704697
Top-heavy,0.302564102564103,3.07546994632978,271.627506195155,0.202048826300397
Top-heavy,0.505128205128205,5.11468703157878,415.460097807215,0.337318803230324
Top-heavy,0.707692307692308,7.07829031567199,535.83618577005,0.472588780160252
Top-heavy,0.91025641025641,8.93945306620077,637.20682256159,0.607858757090179
Top-heavy,1.11282051282051,10.6769325487023,723.030789457159,0.743128734020106
Top-heavy,1.31538461538462,12.2733616219622,796.031108060276,0.878398710950033
Top-heavy,1.51794871794872,13.7177134676256,858.376211445124,1.01366868787996
Top-heavy,1.72051282051282,15.0065330255421,911.810452031926,1.14893866480989
Top-heavy,1.92307692307692,16.1433210840575,957.749739473654,1.28420864173981
Top-heavy,2.12564102564103,17.1366853728358,997.352691474709,1.41947861866974
Top-heavy,2.32820512820513,17.9982383280836,1031.57428475794,1.55474859559967
Top-heavy,2.53076923076923,18.7408642206399,1061.20680480448,1.6900185725296
Top-heavy,2.73333333333333,19.3775310675472,1086.91144907122,1.82528854945952
Top-heavy,2.93589743589744,19.9205796431396,1109.24296602175,1.96055852638945
Top-heavy,3.13846153846154,20.3813558687521,1128.66904557624,2.09582850331938
Top-heavy,3.34102564102564,20.7700628799715,1145.58571209376,2.2310984802493
Top-heavy,3.54358974358974,21.0947838629981,1160.26585154912,2.36652499976064
Top-heavy,3.74615384615385,21.365140787101,1173.11477264635,2.50180392521729
Top-heavy,3.94871794871795,21.5813665953075,1184.40699317874,2.63690841103909
Top-heavy,4.15128205128205,21.7607343976062,1194.19747055995,2.77217838796901
Top-heavy,4.35384615384615,21.9031779483971,1202.74133220835,2.90744836489894
Top-heavy,4.55641025641026,22.0107563991838,1210.19550779461,3.04271834182887
Top-heavy,4.75897435897436,22.0921565026902,1216.69577503263,3.17798831875879
Top-heavy,4.96153846153846,22.1458250471672,1222.22924362222,3.31347747795719
Top-heavy,5.16410256410256,22.1817773484583,1227.2900568022,3.44852827261865
Top-heavy,5.36666666666667,22.1933323845093,1231.42587991547,3.58403532887049
Top-heavy,5.56923076923077,22.1947485400358,1235.29346090481,3.7190682264785
Top-heavy,5.77179487179487,22.1774954189582,1238.51207678212,3.85433820340843
Top-heavy,5.97435897435897,22.1420595930085,1241.11294848679,3.98987210524044
Top-heavy,6.17692307692308,22.0976132090828,1243.49382405554,4.12515103069709
Top-heavy,6.37948717948718,22.046281443535,1245.72808986196,4.26014813419821
Top-heavy,6.58205128205128,21.9808291896732,1247.47272103289,4.39541811112814
Top-heavy,6.78461538461538,21.9064909385536,1248.94968931548,4.53068808805806
Top-heavy,6.98717948717949,21.8241947476625,1250.18989415991,4.66595806498799
Top-heavy,7.18974358974359,21.7449352357093,1251.66704370034,4.80061931688981
Top-heavy,7.39230769230769,21.6547108213795,1252.75220238815,4.93557208512922
Top-heavy,7.59487179487179,21.5640496672208,1253.9022561375,5.0702248257288
Top-heavy,7.7974358974359,21.4732954681914,1255.12453786626,5.20460067764938
Top-heavy,8,21.3732159117738,1256.0123586093,5.33926043285807
Bottom-heavy,0.1,0.97227383884481,98.5234646707881,0.0667788493704697
Bottom-heavy,0.302564102564103,3.07546994632978,271.627506195155,0.202048826300397
Bottom-heavy,0.505128205128205,5.11468703157878,415.460097807215,0.337318803230324
Bottom-heavy,0.707692307692308,7.07829031567199,535.83618577005,0.472588780160252
Bottom-heavy,0.91025641025641,8.93945306620077,637.20682256159,0.607858757090179
Bottom-heavy,1.11282051282051,10.6769325487023,723.030789457159,0.743128734020106
Bottom-heavy,1.31538461538462,12.2733616219622,796.031108060276,0.878398710950033
Bottom-heavy,1.51794871794872,13.7177134676256,858.376211445124,1.01366868787996
Bottom-heavy,1.72051282051282,15.0065330255421,911.810452031926,1.14893866480989
Bottom-heavy,1.92307692307692,16.1433210840575,957.749739473654,1.28420864173981
Bottom-heavy,2.12564102564103,17.1366853728358,997.352691474709,1.41947861866974
Bottom-heavy,2.32820512820513,17.9982383280836,1031.57428475794,1.55474859559967
Bottom-heavy,2.53076923076923,18.7408642206399,1061.20680480448,1.6900185725296
Bottom-heavy,2.73333333333333,19.3775310675472,1086.91144907122,1.82528854945952
Bottom-heavy,2.93589743589744,19.9205796431396,1109.24296602175,1.96055852638945
Bottom-heavy,3.13846153846154,20.3813558687521,1128.66904557624,2.09582850331938
Bottom-heavy,3.34102564102564,20.7700628799715,1145.58571209376,2.2310984802493
Bottom-heavy,3.54358974358974,21.095745693446,1160.32964280045,2.36636845717923
Bottom-heavy,3.74615384615385,21.3663468085899,1173.18809972153,2.50163843410916
Bottom-heavy,3.94871794871795,21.5813665953075,1184.40699317874,2.63690841103909
Bottom-heavy,4.15128205128205,21.7607343976062,1194.19747055995,2.77217838796901
Bottom-heavy,4.35384615384615,21.9031779483971,1202.74133220835,2.90744836489894
Bottom-heavy,4.55641025641026,22.0107563991838,1210.19550779461,3.04271834182887
Bottom-heavy,4.75897435897436,22.0921565026902,1216.69577503263,3.17798831875879
Bottom-heavy,4.96153846153846,22.1485051612229,1222.35986354175,3.31325829568872
Bottom-heavy,5.16410256410256,22.1817773484583,1227.2900568022,3.44852827261865
Bottom-heavy,5.36666666666667,22.1964955659587,1231.57538214961,3.58379824954857
Bottom-heavy,5.56923076923077,22.1947485400358,1235.29346090481,3.7190682264785
Bottom-heavy,5.77179487179487,22.1774954189582,1238.51207678212,3.85433820340843
Bottom-heavy,5.97435897435897,22.1459524612844,1241.29050973801,3.98960818033836
Bottom-heavy,6.17692307692308,22.1017355292282,1243.68067372277,4.12487815726828
Bottom-heavy,6.37948717948718,22.046281443535,1245.72808986196,4.26014813419821
Bottom-heavy,6.58205128205128,21.9808291896732,1247.47272103289,4.39541811112814
Bottom-heavy,6.78461538461538,21.9064909385536,1248.94968931548,4.53068808805806
Bottom-heavy,6.98717948717949,21.8241947476625,1250.18989415991,4.66595806498799
Bottom-heavy,7.18974358974359,21.7449352357093,1251.66704370034,4.80061931688981
Bottom-heavy,7.39230769230769,21.6596595979352,1252.96874130959,4.93528014802328
Bottom-heavy,7.59487179487179,21.5640496672208,1253.9022561375,5.0702248257288
Bottom-heavy,7.7974358974359,21.4732954681914,1255.12453786626,5.20460067764938
Bottom-heavy,8,21.3732159117738,1256.0123586093,5.33926043285807
